DATE,INSTRUMENT,UNDERLYING,EXPIRY DATE,MTM SETTLEMENT PRICE
10-FEB-2026,FUTSTK,ASHOKLEY,24-FEB-2026,208.47
10-FEB-2026,FUTSTK,ASHOKLEY,26-FEB-2026,210.25
10-FEB-2026,FUTSTK,ASHOKLEY,25-MAR-2026,211.10
10-FEB-2026,FUTSTK,ASHOKLEY,30-MAR-2026,206.58
10-FEB-2026,FUTSTK,ASHOKLEY,28-APR-2026,205.34
10-FEB-2026,FUTSTK,ASHOKLEY,30-APR-2026,212.25
10-FEB-2026,FUTSTK,ASIANPAINT,24-FEB-2026,2401.80
10-FEB-2026,FUTSTK,ASIANPAINT,26-FEB-2026,2399.40
10-FEB-2026,FUTSTK,ASIANPAINT,25-MAR-2026,2409.15
10-FEB-2026,FUTSTK,ASIANPAINT,30-MAR-2026,2415.60
10-FEB-2026,FUTSTK,ASIANPAINT,28-APR-2026,2429.60
10-FEB-2026,FUTSTK,ASIANPAINT,30-APR-2026,2422.25
10-FEB-2026,FUTSTK,ASTRAL,24-FEB-2026,1537.00
10-FEB-2026,FUTSTK,ASTRAL,26-FEB-2026,1535.90
10-FEB-2026,FUTSTK,ASTRAL,25-MAR-2026,1542.15
10-FEB-2026,FUTSTK,ASTRAL,30-MAR-2026,1526.00
10-FEB-2026,FUTSTK,ASTRAL,28-APR-2026,1522.50
10-FEB-2026,FUTSTK,ASTRAL,30-APR-2026,1550.55
10-FEB-2026,FUTSTK,AUBANK,24-FEB-2026,1001.90
10-FEB-2026,FUTSTK,AUBANK,26-FEB-2026,1003.55
10-FEB-2026,FUTSTK,AUBANK,25-MAR-2026,1007.65
10-FEB-2026,FUTSTK,AUBANK,30-MAR-2026,1004.95
10-FEB-2026,FUTSTK,AUBANK,28-APR-2026,1009.00
10-FEB-2026,FUTSTK,AUBANK,30-APR-2026,1013.15
10-FEB-2026,FUTSTK,AUROPHARMA,24-FEB-2026,1126.60
10-FEB-2026,FUTSTK,AUROPHARMA,26-FEB-2026,1126.75
10-FEB-2026,FUTSTK,AUROPHARMA,25-MAR-2026,1131.35
10-FEB-2026,FUTSTK,AUROPHARMA,30-MAR-2026,1131.00
10-FEB-2026,FUTSTK,AUROPHARMA,28-APR-2026,1145.00
10-FEB-2026,FUTSTK,AUROPHARMA,30-APR-2026,1137.50
10-FEB-2026,FUTSTK,AXISBANK,24-FEB-2026,1357.20
10-FEB-2026,FUTSTK,AXISBANK,26-FEB-2026,1359.95
10-FEB-2026,FUTSTK,AXISBANK,25-MAR-2026,1365.50
10-FEB-2026,FUTSTK,AXISBANK,30-MAR-2026,1365.20
10-FEB-2026,FUTSTK,AXISBANK,28-APR-2026,1373.00
10-FEB-2026,FUTSTK,AXISBANK,30-APR-2026,1372.95
10-FEB-2026,FUTSTK,BAJAJ-AUTO,24-FEB-2026,9805.00
10-FEB-2026,FUTSTK,BAJAJ-AUTO,26-FEB-2026,9797.55
10-FEB-2026,FUTSTK,BAJAJ-AUTO,25-MAR-2026,9837.50
10-FEB-2026,FUTSTK,BAJAJ-AUTO,30-MAR-2026,9835.50
10-FEB-2026,FUTSTK,BAJAJ-AUTO,28-APR-2026,9869.00
10-FEB-2026,FUTSTK,BAJAJ-AUTO,30-APR-2026,9891.00
10-FEB-2026,FUTSTK,BAJAJFINSV,24-FEB-2026,2029.40
10-FEB-2026,FUTSTK,BAJAJFINSV,26-FEB-2026,2032.80
10-FEB-2026,FUTSTK,BAJAJFINSV,25-MAR-2026,2041.10
10-FEB-2026,FUTSTK,BAJAJFINSV,30-MAR-2026,2041.60
10-FEB-2026,FUTSTK,BAJAJFINSV,28-APR-2026,2056.10
10-FEB-2026,FUTSTK,BAJAJFINSV,30-APR-2026,2052.20
